model,prompt,Alignment,Geometry,Texture,Overall
dreamfusion,"A striped zebra",4.76470588235294,3.10526315789474,3.1875,3.31578947368421
dreamfusion,"A grey mouse",0.94444444444444,0.76190476190476,0.64705882352941,0.84210526315789
dreamfusion,"A blue vase",8,7.66666666666667,6.3,7.23809523809524
dreamfusion,"A brown bear",1.94736842105263,1.38888888888889,1.27777777777778,1.61904761904762
dreamfusion,"A round stool",8.57894736842105,7.88888888888889,7.16666666666667,8
dreamfusion,"A white helmet",1.78947368421053,1.88888888888889,1.55,1.57142857142857
dreamfusion,"A green umbrella",1.15789473684211,0.66666666666667,1.1,0.95238095238095
dreamfusion,"A yellow hat",8.31578947368421,7.27777777777778,6.68421052631579,7.3
dreamfusion,"A wooden bench",8.1,6.94117647058824,6.58823529411765,7.10526315789474
dreamfusion,"A brown horse",4,2.63157894736842,3.5,2.9
dreamfusion,"A symmetrical arch",1.05263157894737,1.54545454545455,1.28571428571429,1.04761904761905
dreamfusion,"A glass bottle",7.05263157894737,6.66666666666667,6,6.19047619047619
dreamfusion,"A white rabbit",8.66666666666667,8.09523809523809,6.82352941176471,7.78947368421053
dreamfusion,"A blue jacket",4.85,4.11764705882353,4.76470588235294,4.31578947368421
dreamfusion,"A delicious hamburger",6.63157894736842,5.38888888888889,4.68421052631579,5.45
dreamfusion,"A canned Coke",8.33333333333333,7.57894736842105,6.85,7.45
magic3d,"A striped zebra",6.5,5.66666666666667,5.29411764705882,5.63157894736842
magic3d,"A grey mouse",4.23529411764706,3.73684210526316,2.875,3.26315789473684
magic3d,"A blue vase",8,7.13636363636364,5.85714285714286,6.66666666666667
magic3d,"A brown bear",6.57894736842105,4.44444444444444,4.78947368421053,5
magic3d,"A round stool",8.57894736842105,8.1578947368421,6.55555555555556,7.61904761904762
magic3d,"A white helmet",3.63157894736842,3.88888888888889,2.84210526315789,3.2
magic3d,"A green umbrella",2.5,1.21052631578947,2.5,1.45
magic3d,"A yellow hat",7.73684210526316,6.5,5.78947368421053,6.8
magic3d,"A wooden bench",7.83333333333333,6.68421052631579,6.5,6.75
magic3d,"A brown horse",5,3.14285714285714,4.35294117647059,3.63157894736842
magic3d,"A symmetrical arch",0.35294117647059,0.73684210526316,0.875,0.57894736842105
magic3d,"A glass bottle",7.80952380952381,7.5625,6.65,7.42105263157895
magic3d,"A white rabbit",7.63157894736842,6.16666666666667,6,6.61904761904762
